time_s,max_T_C,min_T_C,max_abs_dTdt_C_per_min,conv_ramp
0.0006,779.758,26.9458,6519.14,3.5125e-05
6.0006,779.641,26.9459,2752.02,3.51292e-05
12.0006,779.523,26.946,2747.51,3.51334e-05
18.0006,779.405,26.946,2742.99,3.51377e-05
24.0006,779.287,26.9461,2738.46,3.51419e-05
30.0006,779.168,26.9462,2733.93,3.51462e-05
36.0006,779.05,26.9463,2729.4,3.51505e-05
42.0006,778.931,26.9464,2724.87,3.51547e-05
48.0006,778.812,26.9464,2720.33,3.5159e-05
54.0006,778.692,26.9465,2715.78,3.51633e-05
60.0006,778.572,26.9466,2711.24,3.51676e-05
66.0006,778.452,26.9467,2706.69,3.5172e-05
72.0006,778.332,26.9468,2702.13,3.51763e-05
78.0006,778.211,26.9469,2697.57,3.51807e-05
84.0006,778.09,26.9469,2693.01,3.5185e-05
90.0006,777.969,26.947,2688.45,3.51894e-05
96.0006,777.848,26.9471,2683.88,3.51938e-05
102.001,777.726,26.9472,2679.31,3.51982e-05
108.001,777.604,26.9473,2674.73,3.52026e-05
114.001,777.482,26.9474,2670.15,3.5207e-05
120.001,777.359,26.9474,2665.56,3.52114e-05
126.001,777.237,26.9475,2660.98,3.52158e-05
132.001,777.113,26.9476,2656.39,3.52203e-05
138.001,776.99,26.9477,2651.79,3.52248e-05
144.001,776.866,26.9478,2647.19,3.52292e-05
150.001,776.742,26.9479,2642.59,3.52337e-05
156.001,776.618,26.948,2637.98,3.52382e-05
162.001,776.494,26.9481,2633.37,3.52427e-05
168.001,776.369,26.9482,2628.76,3.52473e-05
174.001,776.244,26.9482,2624.14,3.52518e-05
180.001,776.118,26.9483,2619.52,3.52563e-05
186.001,775.992,26.9484,2614.89,3.52609e-05
192.001,775.866,26.9485,2610.26,3.52655e-05
198.001,775.74,26.9486,2605.63,3.52701e-05
204.001,775.613,26.9487,2600.99,3.52746e-05
210.001,775.486,26.9488,2596.35,3.52793e-05
216.001,775.359,26.9489,2591.71,3.52839e-05
222.001,775.231,26.949,2587.06,3.52885e-05
228.001,775.104,26.9491,2582.41,3.52932e-05
234.001,774.975,26.9492,2577.75,3.52978e-05
240.001,774.847,26.9493,2573.09,3.53025e-05
246.001,774.718,26.9494,2568.43,3.53072e-05
252.001,774.589,26.9495,2563.76,3.53119e-05
258.001,774.459,26.9495,2559.09,3.53166e-05
264.001,774.33,26.9496,2554.41,3.53213e-05
270.001,774.2,26.9497,2549.74,3.53261e-05
276.001,774.069,26.9498,2545.05,3.53308e-05
282.001,773.938,26.9499,2540.37,3.53356e-05
288.001,773.807,26.95,2535.68,3.53404e-05
294.001,773.676,26.9501,2530.98,3.53452e-05
300.001,773.544,26.9502,2526.29,3.535e-05
306.001,773.412,26.9503,2521.58,3.53548e-05
312.001,773.28,26.9504,2516.88,3.53596e-05
318.001,773.147,26.9505,2512.17,3.53645e-05
324.001,773.014,26.9506,2507.46,3.53693e-05
330.001,772.88,26.9507,2502.74,3.53742e-05
336.001,772.747,26.9508,2498.02,3.53791e-05
342.001,772.613,26.9509,2493.3,3.5384e-05
348.001,772.478,26.9511,2488.57,3.53889e-05
354.001,772.343,26.9512,2483.84,3.53939e-05
360.001,772.208,26.9513,2479.1,3.53988e-05
366.001,772.073,26.9514,2474.36,3.54038e-05
372.001,771.937,26.9515,2469.62,3.54087e-05
378.001,771.801,26.9516,2464.87,3.54137e-05
384.001,771.664,26.9517,2460.12,3.54187e-05
390.001,771.527,26.9518,2455.37,3.54238e-05
396.001,771.39,26.9519,2450.61,3.54288e-05
402.001,771.252,26.952,2445.85,3.54339e-05
408.001,771.114,26.9521,2441.08,3.54389e-05
414.001,770.976,26.9522,2436.31,3.5444e-05
420.001,770.837,26.9523,2431.54,3.54491e-05
426.001,770.698,26.9525,2426.76,3.54542e-05
432.001,770.558,26.9526,2421.98,3.54594e-05
438.001,770.418,26.9527,2417.19,3.54645e-05
444.001,770.278,26.9528,2412.41,3.54697e-05
450.001,770.138,26.9529,2407.61,3.54748e-05
456.001,769.997,26.953,2402.82,3.548e-05
462.001,769.855,26.9531,2398.02,3.54852e-05
468.001,769.713,26.9533,2393.21,3.54905e-05
474.001,769.571,26.9534,2388.41,3.54957e-05
480.001,769.429,26.9535,2383.6,3.5501e-05
486.001,769.286,26.9536,2378.78,3.55062e-05
492.001,769.142,26.9537,2373.96,3.55115e-05
498.001,768.998,26.9539,2369.14,3.55168e-05
504.001,768.854,26.954,2364.31,3.55222e-05
510.001,768.71,26.9541,2359.48,3.55275e-05
516.001,768.565,26.9542,2354.65,3.55329e-05
522.001,768.419,26.9543,2349.81,3.55383e-05
528.001,768.273,26.9545,2344.97,3.55436e-05
534.001,768.127,26.9546,2340.13,3.55491e-05
540.001,767.98,26.9547,2335.28,3.55545e-05
546.001,767.833,26.9548,2330.43,3.55599e-05
552.001,767.686,26.955,2325.57,3.55654e-05
558.001,767.538,26.9551,2320.71,3.55709e-05
564.001,767.39,26.9552,2315.85,3.55764e-05
570.001,767.241,26.9553,2310.98,3.55819e-05
576.001,767.092,26.9555,2306.11,3.55874e-05
582.001,766.942,26.9556,2301.24,3.5593e-05
588.001,766.792,26.9557,2296.36,3.55986e-05
594.001,766.641,26.9559,2291.48,3.56042e-05
600.001,766.49,26.956,2286.59,3.56098e-05
606.001,766.339,26.9561,2281.7,3.56154e-05
612.001,766.187,26.9563,2276.81,3.5621e-05
618.001,766.035,26.9564,2271.91,3.56267e-05
624.001,765.882,26.9565,2267.01,3.56324e-05
630.001,765.729,26.9567,2262.11,3.56381e-05
