time,step,P_cond_W,P_fric_W,scale,frac_wp,frac_tool,tool_pos_x,tool_pos_y,tool_vel_x,tool_vel_y,tool_Tmin,tool_Tmax,wp_Tmin,wp_Tmax,wp_Tavg,contact_iters,rel_force,rel_power
0.000000000000000e+00,0,0.000000000000000e+00,0.000000000000000e+00,1.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.958777350403768e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,3.000000000000000e+02,3.000000000000000e+02,3.000000000000000e+02,3.000000000000000e+02,3.000000000000000e+02,0,0.000000000000000e+00,0.000000000000000e+00
1.500000000000000e-08,1,9.453284055828446e-09,4.207117607454421e+01,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,-1.933777350403764e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.999999468643765e+02,3.000003821914409e+02,3.000000000000000e+02,3.000016791165282e+02,3.000000001762687e+02,1,0.000000000000000e+00,0.000000000000000e+00
3.000000000000003e-08,2,2.508079028427678e-08,4.375724240143071e+01,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,-1.908777350403760e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.999998947300250e+02,3.000010283746410e+02,3.000000000000000e+02,3.000044232215211e+02,3.000000004644166e+02,1,0.000000000000000e+00,0.000000000000000e+00
4.499999999999997e-08,3,4.187446743465765e-08,4.263282996052620e+01,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,-1.883777350403762e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.999998435686116e+02,3.000017149557980e+02,3.000000000000000e+02,3.000073658533137e+02,3.000000007735094e+02,1,0.000000000000000e+00,0.000000000000000e+00
5.999999999999990e-08,4,5.837627316643441e-08,4.339322445751039e+01,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,-1.858777350403764e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.999997933526877e+02,3.000023763747504e+02,3.000000000000000e+02,3.000102517604782e+02,3.000000010767559e+02,1,0.000000000000000e+00,0.000000000000000e+00
7.499999999999984e-08,5,7.531962396040681e-08,4.462206064033852e+01,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,-1.833777350403767e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.999997440556612e+02,3.000030462682342e+02,3.000000000000000e+02,3.000132106923792e+02,3.000000013877761e+02,1,0.000000000000000e+00,0.000000000000000e+00
8.999999999999977e-08,6,9.241388613293381e-08,4.432295143580353e+01,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,-1.808777350403769e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.999996956517680e+02,3.000037107433161e+02,3.000000000000000e+02,3.000161888762444e+02,3.000000017009280e+02,1,0.000000000000000e+00,0.000000000000000e+00
1.049999999999997e-07,7,1.097012512127370e-07,4.512374974731244e+01,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,-1.783777350403771e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.999996481160464e+02,3.000043726018488e+02,3.000000000000000e+02,3.000191961734408e+02,3.000000020172471e+02,1,0.000000000000000e+00,0.000000000000000e+00
1.199999999999997e-07,8,1.270479166418713e-07,4.443030908432406e+01,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,-1.758777350403774e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.999996014243097e+02,3.000050251565082e+02,3.000000000000000e+02,3.000222064000052e+02,3.000000023339863e+02,1,0.000000000000000e+00,0.000000000000000e+00
1.350000000000000e-07,9,1.441954337242173e-07,4.431673992013162e+01,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,-1.733777350403776e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.999995555531215e+02,3.000056572328058e+02,3.000000000000000e+02,3.000251751906192e+02,3.000000026464874e+02,1,0.000000000000000e+00,0.000000000000000e+00
