time,step,P_cond_W,P_fric_W,scale,frac_wp,frac_tool,tool_pos_x,tool_pos_y,tool_vel_x,tool_vel_y,tool_Tmin,tool_Tmax,wp_Tmin,wp_Tmax,wp_Tavg,contact_iters,rel_force,rel_power
0.000000000000000e+00,0,0.000000000000000e+00,0.000000000000000e+00,1.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,-1.958777350403768e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,3.000000000000000e+02,3.000000000000000e+02,3.000000000000000e+02,3.000000000000000e+02,3.000000000000000e+02,0,0.000000000000000e+00,0.000000000000000e+00
9.999999999999989e-08,1,6.248042721321102e-08,8.331708122268279e+01,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,-1.792110683737102e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.981500000000000e+02,3.000077063591464e+02,3.000000000000000e+02,3.000081665931718e+02,3.000000021777391e+02,2,0.000000000000000e+00,0.000000000000000e+00
1.999999999999995e-07,2,1.499011851972764e-07,9.296095740422497e+01,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,-1.625444017070430e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.981500000000000e+02,3.000161869012562e+02,3.000000000000000e+02,3.000179521549628e+02,3.000000047885741e+02,2,0.000000000000000e+00,0.000000000000000e+00
3.000000000000007e-07,3,2.520226437736769e-07,7.596975370983674e+01,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,-1.458777350403758e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.981500000000000e+02,3.000238849399913e+02,3.000000000000000e+02,3.000277896677484e+02,3.000000074148514e+02,2,0.000000000000000e+00,0.000000000000000e+00
4.000000000000029e-07,4,3.518400218526387e-07,6.281567884900560e+01,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,-1.292110683737086e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.981500000000000e+02,3.000284503731278e+02,3.000000000000000e+02,3.000352031468207e+02,3.000000093962435e+02,2,0.000000000000000e+00,0.000000000000000e+00
5.000000000000039e-07,5,5.468692995135796e-07,6.894324722801645e+01,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,-1.125444017070414e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.981500000000000e+02,3.000330948362794e+02,3.000000000000000e+02,3.000463938196160e+02,3.000000123858625e+02,2,0.000000000000000e+00,0.000000000000000e+00
6.000000000000008e-07,6,1.011845775285562e-05,1.398826254508520e+02,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,-9.587773504037415e-07,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.981500000000000e+02,3.000409260980034e+02,3.000000000000000e+02,3.004058545453929e+02,3.000001082415894e+02,2,0.000000000000000e+00,0.000000000000000e+00
6.999999999999977e-07,7,3.558978565866866e-05,1.707721348700874e+02,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,-7.921106837370796e-07,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.981500000000000e+02,3.000551756657928e+02,3.000000000000000e+02,3.013425992487229e+02,3.000003581069654e+02,2,0.000000000000000e+00,0.000000000000000e+00
7.999999999999947e-07,8,6.579749459655736e-05,1.683639498427133e+02,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,-6.254440170704181e-07,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.981500000000000e+02,3.000691752390148e+02,3.000000000000000e+02,3.024498298827313e+02,3.000006535878730e+02,2,0.000000000000000e+00,0.000000000000000e+00
8.999999999999916e-07,9,9.610107641584569e-05,1.621556437789839e+02,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,-4.587773504037559e-07,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.981500000000000e+02,3.000811573353186e+02,3.000000000000000e+02,3.035584521363992e+02,3.000009496180670e+02,2,0.000000000000000e+00,0.000000000000000e+00
9.999999999999934e-07,10,1.244213727292398e-04,1.767019626453494e+02,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,-2.921106837370891e-07,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.981500000000000e+02,3.000928420334686e+02,3.000000000000000e+02,3.045968408170412e+02,3.000012271207824e+02,2,0.000000000000000e+00,0.000000000000000e+00
1.100000000000001e-06,11,1.533710856317239e-04,1.827143657564352e+02,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,-1.254440170704223e-07,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.981500000000000e+02,3.001058518335441e+02,3.000000000000000e+02,3.056607603946623e+02,3.000015125065958e+02,2,0.000000000000000e+00,0.000000000000000e+00
1.200000000000008e-06,12,1.846257549306497e-04,1.881326549933177e+02,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,4.122264959624453e-08,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.981500000000000e+02,3.001172813373642e+02,3.000000000000000e+02,3.068090894466403e+02,3.000018376589384e+02,2,0.000000000000000e+00,0.000000000000000e+00
1.300000000000016e-06,13,2.207468484122125e-04,2.443762842967497e+02,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,2.078893162629113e-07,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.981500000000000e+02,3.001320944630829e+02,3.000000000000000e+02,3.081392391243636e+02,3.000022680403412e+02,2,0.000000000000000e+00,0.000000000000000e+00
1.400000000000023e-06,14,2.619528768766686e-04,2.532315521289358e+02,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,3.745559829295782e-07,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.981500000000000e+02,3.001491335816990e+02,3.000000000000000e+02,3.093265122724629e+02,3.000027978185477e+02,2,0.000000000000000e+00,0.000000000000000e+00
1.500000000000031e-06,15,3.022272611741068e-04,2.350337513904597e+02,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,5.412226495962430e-07,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.981500000000000e+02,3.001620816984823e+02,3.000000000000000e+02,3.102101052167993e+02,3.000033098943842e+02,2,0.000000000000000e+00,0.000000000000000e+00
1.600000000000038e-06,16,3.385446563477125e-04,2.099020497876535e+02,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,7.078893162629045e-07,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.981500000000000e+02,3.001717300336775e+02,3.000000000000000e+02,3.109700664185178e+02,3.000037733263296e+02,2,0.000000000000000e+00,0.000000000000000e+00
1.700000000000046e-06,17,3.767811815111921e-04,1.956539544221365e+02,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,8.745559829295661e-07,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.981500000000000e+02,3.001788001188918e+02,3.000000000000000e+02,3.117443232514782e+02,3.000042607657486e+02,2,0.000000000000000e+00,0.000000000000000e+00
1.800000000000053e-06,18,4.213490398037151e-04,2.451111393304500e+02,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,1.041222649596233e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.981500000000000e+02,3.001878164718157e+02,3.000000000000000e+02,3.126235548024242e+02,3.000048308655666e+02,2,0.000000000000000e+00,0.000000000000000e+00
1.900000000000061e-06,19,4.750441491938800e-04,3.374032998401921e+02,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,1.207889316262905e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.981500000000000e+02,3.002068669218827e+02,3.000000000000000e+02,3.136769725933968e+02,3.000055185174501e+02,2,0.000000000000000e+00,0.000000000000000e+00
2.000000000000069e-06,20,5.328465294993776e-04,3.544342255972010e+02,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,1.374555982929578e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.981500000000000e+02,3.002302335485974e+02,3.000000000000000e+02,3.148023545145049e+02,3.000062616050930e+02,2,0.000000000000000e+00,0.000000000000000e+00
2.100000000000076e-06,21,5.974552508235725e-04,3.701344878969877e+02,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,1.541222649596250e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.981500000000000e+02,3.002555339577749e+02,3.000000000000000e+02,3.160469110274420e+02,3.000070906655503e+02,2,0.000000000000000e+00,0.000000000000000e+00
2.200000000000084e-06,22,6.607575512911494e-04,2.876969647956028e+02,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,1.707889316262922e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.981500000000000e+02,3.002734955527520e+02,3.000000000000000e+02,3.172556753506445e+02,3.000079145190738e+02,2,0.000000000000000e+00,0.000000000000000e+00
2.300000000000091e-06,23,7.150022612368231e-04,2.968813217286232e+02,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,1.874555982929594e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.981500000000000e+02,3.002808844396633e+02,3.000000000000000e+02,3.182664306108577e+02,3.000086763094781e+02,2,0.000000000000000e+00,0.000000000000000e+00
2.400000000000099e-06,24,7.691247221648214e-04,3.638273949985611e+02,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,2.041222649596249e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.981500000000000e+02,3.002935988897722e+02,3.000000000000000e+02,3.192497916132506e+02,3.000095132666077e+02,2,0.000000000000000e+00,0.000000000000000e+00
2.500000000000106e-06,25,8.297352581533179e-04,3.638846214842241e+02,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,2.207889316262900e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.981500000000000e+02,3.003083665652944e+02,3.000000000000000e+02,3.203229173223175e+02,3.000104982207490e+02,2,0.000000000000000e+00,0.000000000000000e+00
2.600000000000114e-06,26,9.004252797205361e-04,3.048244688588072e+02,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,2.374555982929551e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.981500000000000e+02,3.003240809134459e+02,3.000000000000000e+02,3.215454528152520e+02,3.000116747356695e+02,2,0.000000000000000e+00,0.000000000000000e+00
2.700000000000121e-06,27,9.501309199905709e-04,3.119094129594670e+02,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,2.541222649596202e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.981500000000000e+02,3.003250620808317e+02,3.000000000000000e+02,3.223841731479037e+02,3.000125606609628e+02,2,0.000000000000000e+00,0.000000000000000e+00
2.800000000000129e-06,28,9.843864625567599e-04,3.011859612398868e+02,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,2.707889316262853e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.981500000000000e+02,3.003207912205038e+02,3.000000000000000e+02,3.229416255889720e+02,3.000132055475779e+02,2,0.000000000000000e+00,0.000000000000000e+00
2.900000000000136e-06,29,1.011861972937746e-03,2.143999864899457e+02,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,2.874555982929504e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.981500000000000e+02,3.003104076608720e+02,3.000000000000000e+02,3.233518893374960e+02,3.000137217759190e+02,2,0.000000000000000e+00,0.000000000000000e+00
3.000000000000144e-06,30,1.045845973868883e-03,2.384055250904849e+02,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,3.041222649596155e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.981500000000000e+02,3.002998291340962e+02,3.000000000000000e+02,3.237344925967266e+02,3.000143122226046e+02,2,0.000000000000000e+00,0.000000000000000e+00
3.100000000000151e-06,31,1.098066405717637e-03,3.288638066202761e+02,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,3.207889316262806e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.981500000000000e+02,3.002961667605481e+02,3.000000000000000e+02,3.242069163644384e+02,3.000151934488351e+02,2,0.000000000000000e+00,0.000000000000000e+00
3.200000000000159e-06,32,1.167260418570991e-03,4.967233756136147e+02,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,3.374555982929456e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.981500000000000e+02,3.003067080500863e+02,3.000000000000000e+02,3.247889708707049e+02,3.000163932458310e+02,2,0.000000000000000e+00,0.000000000000000e+00
3.300000000000166e-06,33,1.244877580193904e-03,5.498624273745750e+02,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,3.541222649596107e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.981500000000000e+02,3.003229681757128e+02,3.000000000000000e+02,3.253867590379421e+02,3.000178473946455e+02,2,0.000000000000000e+00,0.000000000000000e+00
3.400000000000174e-06,34,1.330519678560535e-03,5.760934797415033e+02,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,3.707889316262758e-06,-7.512982179781362e-05,1.666666666666667e+00,0.000000000000000e+00,2.981500000000000e+02,3.003357019961976e+02,3.000000000000000e+02,3.259585403220026e+02,3.000195626446667e+02,2,0.000000000000000e+00,0.000000000000000e+00
