time,step,wp_Tmin,wp_Tmax,wp_Tavg,wp_umax,wp_svm_max,wp_epspl_max,wp_contact_pmax,wp_contact_count
0.000000000000000e+00,0,3.000000000000000e+02,3.000000000000000e+02,3.000000000000000e+02,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0
4.999999999999994e-08,1,3.000000000000000e+02,3.000081894651172e+02,3.000000017878569e+02,8.174073576096014e-08,2.096872743230231e+08,0.000000000000000e+00,1.373673459450519e+13,1
9.999999999999973e-08,2,3.000000000000000e+02,3.000154875231898e+02,3.000000033833842e+02,1.708962601982266e-07,2.958723285812274e+08,0.000000000000000e+00,1.797864875291675e+13,1
1.500000000000003e-07,3,3.000000000000000e+02,3.000194848905530e+02,3.000000042601473e+02,2.590562317701583e-07,3.147320926251562e+08,0.000000000000000e+00,1.875569495049340e+13,1
2.000000000000014e-07,4,3.000000000000000e+02,3.000222828953141e+02,3.000000048760655e+02,3.448330383781196e-07,3.369203570658273e+08,0.000000000000000e+00,2.002774958093821e+13,1
2.500000000000019e-07,5,3.000000000000000e+02,3.000260220750023e+02,3.000000056981423e+02,4.308817439945416e-07,3.855542221027298e+08,0.000000000000000e+00,2.308846466034812e+13,1
3.000000000000004e-07,6,3.000000000000000e+02,3.000310820472166e+02,3.000000068095691e+02,5.181902414726273e-07,4.423025147555981e+08,0.000000000000000e+00,2.631557986624169e+13,1
3.499999999999989e-07,7,3.000000000000000e+02,3.000359287446358e+02,3.000000078757664e+02,6.051293752059991e-07,4.985511575247540e+08,0.000000000000000e+00,2.946466795817329e+13,1
3.999999999999973e-07,8,3.000000000000000e+02,3.000396165427321e+02,3.000000086902046e+02,6.901213014688067e-07,5.606515861819400e+08,0.000000000000000e+00,3.299615916831751e+13,1
4.499999999999958e-07,9,3.000000000000000e+02,3.000428751850014e+02,3.000000094118649e+02,7.743744146396025e-07,6.234260196995709e+08,0.000000000000000e+00,3.656692550894404e+13,1
4.999999999999967e-07,10,3.000000000000000e+02,3.000468192774414e+02,3.000000102840136e+02,8.594665590574008e-07,6.940986538266780e+08,0.000000000000000e+00,4.068528104248889e+13,1
5.500000000000005e-07,11,3.000000000000000e+02,3.000514549001400e+02,3.000000113081608e+02,9.445315641132904e-07,7.764887040112849e+08,3.982108268336209e-08,4.540713609280437e+13,1
6.000000000000042e-07,12,3.000000000000000e+02,3.000572610277943e+02,3.000000125890302e+02,1.030126921762443e-06,8.570507646804610e+08,2.634898323571984e-06,4.990648911960598e+13,1
6.500000000000080e-07,13,3.000000000000000e+02,3.000740480504462e+02,3.000000162682725e+02,1.114738009521552e-06,9.256370941623712e+08,4.122653344977613e-05,5.374774568882958e+13,1
7.000000000000117e-07,14,3.000000000000000e+02,3.001662192276141e+02,3.000000364078512e+02,1.199087734879712e-06,9.751570978967340e+08,3.032822162368609e-04,5.719870683387584e+13,1
7.500000000000155e-07,15,3.000000000000000e+02,3.004060198608900e+02,3.000000888021917e+02,1.284858465065671e-06,1.006598693208673e+09,9.797656856468607e-04,6.041653530238240e+13,1
8.000000000000192e-07,16,3.000000000000000e+02,3.007877684329538e+02,3.000001722502385e+02,1.371972786540341e-06,1.028866227284416e+09,2.036325919240713e-03,6.350374360552402e+13,1
8.500000000000230e-07,17,3.000000000000000e+02,3.012492553606720e+02,3.000002732077110e+02,1.459211443003410e-06,1.043491136455499e+09,3.295202256100428e-03,6.623181149730720e+13,1
9.000000000000267e-07,18,3.000000000000000e+02,3.017393511642763e+02,3.000003805313018e+02,1.546887858699370e-06,1.054905197114075e+09,4.618034830004948e-03,6.869162798954777e+13,1
9.500000000000305e-07,19,3.000000000000000e+02,3.022502513494639e+02,3.000004925236543e+02,1.634699326476051e-06,1.065532182485239e+09,5.984700207085506e-03,7.117915367373212e+13,1
1.000000000000034e-06,20,3.000000000000000e+02,3.028096434101227e+02,3.000006152354380e+02,1.723368245821577e-06,1.076817280206381e+09,7.466147443071687e-03,7.389235184554345e+13,1
1.050000000000038e-06,21,3.000000000000000e+02,3.034406882906633e+02,3.000007537386426e+02,1.813555973156698e-06,1.088868778758536e+09,9.120005776689080e-03,7.689376887403781e+13,1
1.100000000000042e-06,22,3.000000000000000e+02,3.041283272965276e+02,3.000009047696918e+02,1.904338465821705e-06,1.098348915636730e+09,1.090646307921655e-02,7.962962799971870e+13,1
1.150000000000046e-06,23,3.000000000000000e+02,3.048390279548211e+02,3.000010610761767e+02,1.994770759134501e-06,1.107295371321873e+09,1.274117950375473e-02,8.247335659449786e+13,1
1.200000000000049e-06,24,3.000000000000000e+02,3.055937047248829e+02,3.000012274564651e+02,2.086029013397144e-06,1.116706991690708e+09,1.467531485935509e-02,8.538919653434080e+13,1
1.250000000000053e-06,25,3.000000000000000e+02,3.063978371832051e+02,3.000014068635770e+02,2.177765081385544e-06,1.125936564258570e+09,1.672122520761115e-02,8.840363932929220e+13,1
