node_id,x,y,z,uy_fixed,temperature_C,temperature_assigned_C,abs_err_C
1,-9.234587773504038e-04,1.474870178202186e-03,0.000000000000000e+00,0,2.500000000000000e+01,2.500000000000000e+01,0.000000000000000e+00
2,7.654122264959624e-05,1.474870178202186e-03,0.000000000000000e+00,0,2.500000000000000e+01,2.500000000000000e+01,0.000000000000000e+00
7,-8.755081274726756e-04,1.474870178202186e-03,0.000000000000000e+00,0,2.500000000000000e+01,2.500000000000000e+01,0.000000000000000e+00
8,-8.275574775949475e-04,1.474870178202186e-03,0.000000000000000e+00,0,2.500000000000000e+01,2.500000000000000e+01,0.000000000000000e+00
9,-7.796068277172193e-04,1.474870178202186e-03,0.000000000000000e+00,0,2.500000000000000e+01,2.500000000000000e+01,0.000000000000000e+00
10,-7.316561778394910e-04,1.474870178202186e-03,0.000000000000000e+00,0,2.500000000000000e+01,2.500000000000000e+01,0.000000000000000e+00
11,-6.837055279617628e-04,1.474870178202186e-03,0.000000000000000e+00,0,2.500000000000000e+01,2.500000000000000e+01,0.000000000000000e+00
12,-6.357548780840346e-04,1.474870178202186e-03,0.000000000000000e+00,0,2.500000000000000e+01,2.500000000000000e+01,0.000000000000000e+00
13,-5.878042282063063e-04,1.474870178202186e-03,0.000000000000000e+00,0,2.500000000000000e+01,2.500000000000000e+01,0.000000000000000e+00
14,-5.398535783285781e-04,1.474870178202186e-03,0.000000000000000e+00,0,2.500000000000000e+01,2.500000000000000e+01,0.000000000000000e+00
15,-4.919029284508500e-04,1.474870178202186e-03,0.000000000000000e+00,0,2.500000000000000e+01,2.500000000000000e+01,0.000000000000000e+00
16,-4.439522785731217e-04,1.474870178202186e-03,0.000000000000000e+00,0,2.500000000000000e+01,2.500000000000000e+01,0.000000000000000e+00
17,-3.960016286953934e-04,1.474870178202186e-03,0.000000000000000e+00,0,2.500000000000000e+01,2.500000000000000e+01,0.000000000000000e+00
18,-3.480509788176651e-04,1.474870178202186e-03,0.000000000000000e+00,0,2.500000000000000e+01,2.500000000000000e+01,0.000000000000000e+00
19,-3.001003289399370e-04,1.474870178202186e-03,0.000000000000000e+00,0,2.500000000000000e+01,2.500000000000000e+01,0.000000000000000e+00
20,-2.523024893101697e-04,1.474870178202186e-03,0.000000000000000e+00,0,2.500000000000000e+01,2.500000000000000e+01,0.000000000000000e+00
21,-2.049089314982069e-04,1.474870178202186e-03,0.000000000000000e+00,0,2.500000000000000e+01,2.500000000000000e+01,0.000000000000000e+00
22,-1.578252336895444e-04,1.474870178202186e-03,0.000000000000000e+00,0,2.500000000000000e+01,2.500000000000000e+01,0.000000000000000e+00
23,-1.109482938726294e-04,1.474870178202186e-03,0.000000000000000e+00,0,2.500000000000000e+01,2.500000000000000e+01,0.000000000000000e+00
24,-6.417552604460961e-05,1.474870178202186e-03,0.000000000000000e+00,0,2.500000000000000e+01,2.500000000000000e+01,0.000000000000000e+00
25,-1.740460564140401e-05,1.474870178202186e-03,0.000000000000000e+00,0,2.500000000000000e+01,2.500000000000000e+01,0.000000000000000e+00
26,2.946678691310234e-05,1.474870178202186e-03,0.000000000000000e+00,0,2.500000000000000e+01,2.500000000000000e+01,0.000000000000000e+00
