running model 1
feed: 0.000100, dt 7.641171e-10, num_part 6231
<<< single-resolution simulation >>>
starting simulation: particles=6231 dt=7.641171e-10 t_final=2.160000e+04 steps=160644 print_every=1070
000000: #increments 000000, cur time 0.000000e+00, pctg done 0.000000, seconds left: 0.000000
000001: #increments 001070, cur time 8.176053e-07, pctg done 0.666069, seconds left: 2152.685771
000002: #increments 002140, cur time 1.635211e-06, pctg done 1.332138, seconds left: 2180.067867
000003: #increments 003210, cur time 2.452816e-06, pctg done 1.998207, seconds left: 2190.861059
000004: #increments 004280, cur time 3.270421e-06, pctg done 2.664276, seconds left: 2192.355166
000005: #increments 005350, cur time 4.088026e-06, pctg done 3.330345, seconds left: 2186.710489
000006: #increments 006420, cur time 4.905632e-06, pctg done 3.996414, seconds left: 2181.039339
000007: #increments 007490, cur time 5.723237e-06, pctg done 4.662484, seconds left: 2173.084705
000008: #increments 008560, cur time 6.540842e-06, pctg done 5.328553, seconds left: 2163.843352
000009: #increments 009630, cur time 7.358448e-06, pctg done 5.994622, seconds left: 2154.155590
000010: #increments 010700, cur time 8.176053e-06, pctg done 6.660691, seconds left: 2143.566717
000011: #increments 011770, cur time 8.993658e-06, pctg done 7.326760, seconds left: 2132.268482
000012: #increments 012840, cur time 9.811264e-06, pctg done 7.992829, seconds left: 2118.993807
000013: #increments 013910, cur time 1.062887e-05, pctg done 8.658898, seconds left: 2106.356728
000014: #increments 014980, cur time 1.144647e-05, pctg done 9.324967, seconds left: 2094.157954
000015: #increments 016050, cur time 1.226408e-05, pctg done 9.991036, seconds left: 2085.185957
000016: #increments 017120, cur time 1.308168e-05, pctg done 10.657105, seconds left: 2080.576502
000017: #increments 018190, cur time 1.389929e-05, pctg done 11.323174, seconds left: 2084.970778
000018: #increments 019260, cur time 1.471690e-05, pctg done 11.989243, seconds left: 2097.501994
000019: #increments 020330, cur time 1.553450e-05, pctg done 12.655312, seconds left: 2092.662756
000020: #increments 021400, cur time 1.635211e-05, pctg done 13.321381, seconds left: 2077.663856
000021: #increments 022470, cur time 1.716971e-05, pctg done 13.987451, seconds left: 2063.815037
000022: #increments 023540, cur time 1.798732e-05, pctg done 14.653520, seconds left: 2048.627031
000023: #increments 024610, cur time 1.880492e-05, pctg done 15.319589, seconds left: 2034.127446
000024: #increments 025680, cur time 1.962253e-05, pctg done 15.985658, seconds left: 2019.369361
000025: #increments 026750, cur time 2.044013e-05, pctg done 16.651727, seconds left: 2003.501091
000026: #increments 027820, cur time 2.125774e-05, pctg done 17.317796, seconds left: 1988.727598
000027: #increments 028890, cur time 2.207534e-05, pctg done 17.983865, seconds left: 1973.323626
000028: #increments 029960, cur time 2.289295e-05, pctg done 18.649934, seconds left: 1958.259867
000029: #increments 031030, cur time 2.371055e-05, pctg done 19.316003, seconds left: 1943.656423
000030: #increments 032100, cur time 2.452816e-05, pctg done 19.982072, seconds left: 1929.337595
