time,step,P_cond_W,P_fric_W,scale,frac_wp,frac_tool,tool_Tmin,tool_Tmax,wp_Tmin,wp_Tmax,wp_Tavg,contact_iters,rel_force,rel_power
0.000000000000000e+00,0,0.000000000000000e+00,0.000000000000000e+00,1.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,6.000000000000000e+02,6.000000000000000e+02,3.000000000000000e+02,3.000000000000000e+02,3.000000000000000e+02,0,0.000000000000000e+00,0.000000000000000e+00
2.000000000000000e-08,1,-8.322304804683192e-02,0.000000000000000e+00,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,5.999968353850320e+02,6.000000000000000e+02,3.000000000000000e+02,3.000000022163239e+02,3.000000000005909e+02,0,0.000000000000000e+00,0.000000000000000e+00
4.000000000000001e-08,2,-8.317843886914100e-02,0.000000000000000e+00,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,5.999937498267043e+02,6.000000000000000e+02,3.000000000000000e+02,3.000000045477660e+02,3.000000000012126e+02,0,0.000000000000000e+00,0.000000000000000e+00
6.000000000000006e-08,3,-8.308170513955673e-02,0.000000000000000e+00,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,5.999907403589375e+02,6.000000000000000e+02,3.000000000000000e+02,3.000000068762996e+02,3.000000000018335e+02,0,0.000000000000000e+00,0.000000000000000e+00
7.999999999999998e-08,4,-8.302979894294323e-02,0.000000000000000e+00,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,5.999878041385325e+02,6.000000000000000e+02,3.000000000000000e+02,3.000023928236512e+02,3.000000006379227e+02,0,0.000000000000000e+00,0.000000000000000e+00
9.999999999999989e-08,5,-8.288302808880538e-02,0.000000000000000e+00,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,5.999849384398590e+02,6.000000000000000e+02,3.000000000000000e+02,3.002968613480422e+02,3.000000791449311e+02,0,0.000000000000000e+00,0.000000000000000e+00
1.199999999999998e-07,6,-8.265838749421327e-02,0.000000000000000e+00,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,5.999821406497809e+02,6.000000000000000e+02,3.000000000000000e+02,3.009591158702821e+02,3.000002557176933e+02,0,0.000000000000000e+00,0.000000000000000e+00
1.399999999999997e-07,7,-8.237079171588980e-02,0.000000000000000e+00,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,5.999794082628068e+02,6.000000000000000e+02,3.000000000000000e+02,3.018221582612195e+02,3.000004858440490e+02,0,0.000000000000000e+00,0.000000000000000e+00
1.599999999999996e-07,8,-8.205598396905402e-02,0.000000000000000e+00,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,5.999767388764532e+02,6.000000000000000e+02,3.000000000000000e+02,3.027663491602610e+02,3.000007376328661e+02,0,0.000000000000000e+00,0.000000000000000e+00
1.799999999999995e-07,9,-8.172284824143047e-02,0.000000000000000e+00,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,5.999741301868133e+02,6.000000000000000e+02,3.000000000000000e+02,3.037977518055350e+02,3.000010127077635e+02,0,0.000000000000000e+00,0.000000000000000e+00
