time,step,P_cond_W,P_fric_W,scale,frac_wp,frac_tool,tool_Tmin,tool_Tmax,wp_Tmin,wp_Tmax,wp_Tavg,contact_iters,rel_force,rel_power
0.000000000000000e+00,0,0.000000000000000e+00,0.000000000000000e+00,1.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,3.000000000000000e+02,3.000000000000000e+02,6.000000000000000e+02,6.000000000000000e+02,6.000000000000000e+02,0,0.000000000000000e+00,0.000000000000000e+00
2.000000000000000e-08,1,8.322368967881560e-02,0.000000000000000e+00,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,2.999999293543669e+02,3.000000000000000e+02,5.999999977836671e+02,6.000000000000000e+02,5.999999999994091e+02,0,0.000000000000000e+00,0.000000000000000e+00
4.000000000000001e-08,2,8.317975071615080e-02,0.000000000000000e+00,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,2.999998604735634e+02,3.000000000000000e+02,5.999999954521974e+02,6.000000000000000e+02,5.999999999987874e+02,0,0.000000000000000e+00,0.000000000000000e+00
6.000000000000006e-08,3,8.308373494032754e-02,0.000000000000000e+00,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,2.999997932913759e+02,3.000000000000000e+02,6.000000000000000e+02,6.000003054969424e+02,6.000000000814448e+02,0,0.000000000000000e+00,0.000000000000000e+00
7.999999999999998e-08,4,8.308684800128112e-02,0.000000000000000e+00,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,2.999997277443340e+02,3.000000000000000e+02,6.000000000000000e+02,6.002210106031582e+02,6.000000589221889e+02,0,0.000000000000000e+00,0.000000000000000e+00
9.999999999999989e-08,5,8.319330233848043e-02,0.000000000000000e+00,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,2.999996637715920e+02,3.000000000000000e+02,6.000000000000000e+02,6.008078269613803e+02,6.000002153802222e+02,0,0.000000000000000e+00,0.000000000000000e+00
1.199999999999998e-07,6,8.334202936438095e-02,0.000000000000000e+00,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,2.999996013148149e+02,3.000000000000000e+02,6.000000000000000e+02,6.015303311399059e+02,6.000004080327443e+02,0,0.000000000000000e+00,0.000000000000000e+00
1.399999999999997e-07,7,8.351026552352238e-02,0.000000000000000e+00,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,2.999995403180714e+02,3.000000000000000e+02,6.000000000000000e+02,6.023395876786291e+02,6.000006238396807e+02,0,0.000000000000000e+00,0.000000000000000e+00
1.599999999999996e-07,8,8.370066635893948e-02,0.000000000000000e+00,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,2.999994807277291e+02,3.000000000000000e+02,6.000000000000000e+02,6.032095560884003e+02,6.000008560860283e+02,0,0.000000000000000e+00,0.000000000000000e+00
1.799999999999995e-07,9,8.390504151647929e-02,0.000000000000000e+00,1.000000000000000e+00,8.000000000000000e-01,2.000000000000000e-01,2.999994224923565e+02,3.000000000000000e+02,6.000000000000000e+02,6.041250196354462e+02,6.000011122495836e+02,0,0.000000000000000e+00,0.000000000000000e+00
